0	0	0	0	0	0
20	28.80377	20	5.87749	20	2.10808
40	52.98253	40	8.10294	40	4.05618
60	69.13489	60	10.7849	60	6.27006
80	75.61191	80	20.88505	80	7.65541
100	79.17289	100	35.72142	100	9.29847
120	81.23007	120	54.03863	120	10.61466
140	82.74147	140	62.39836	140	13.33007
160	84.08493	160	66.27864	160	15.86879
180	85.13451	180	69.01766	180	18.14367
240	85.90393	240	74.55277	240	30.75784
300	86.6955	300	77.80536	300	51.81437
360	87.40921	360	81.54298	360	62.4784
420	88.62673	420	82.54158	420	66.3293
480	89.25648	480	84.79557	480	68.69909
540	89.38243	540	85.70858	540	69.85929
600	89.50838	600	87.10662	600	70.79733
660	89.55036	660	87.76285	660	72.50062
720	89.84424	720	88.21935	720	73.686
1440	90.47399	1440	88.96117	1440	75.15453
